document_id,document_name,file_name,is_public
00000000-0000-0000-0002-000000000001,Project Roadmap,pdf.pdf,false
00000000-0000-0000-0002-000000000002,Meeting Notes,md.md,false
00000000-0000-0000-0002-000000000003,Architecture Diagram,canvas.canvas,false
00000000-0000-0000-0002-000000000004,Q3 Budget Report,pdf.pdf,true
00000000-0000-0000-0002-000000000005,Sprint Retro Notes,md.md,false
00000000-0000-0000-0002-000000000006,System Design,canvas.canvas,false
00000000-0000-0000-0002-000000000007,Employee Handbook,pdf.pdf,true
00000000-0000-0000-0002-000000000008,API Documentation,md.md,false
00000000-0000-0000-0002-000000000009,Wireframe Draft,canvas.canvas,false
00000000-0000-0000-0002-00000000000a,Sales Pitch Deck,pdf.pdf,false
00000000-0000-0000-0002-00000000000b,Release Checklist,md.md,false
00000000-0000-0000-0002-00000000000c,User Flow Diagram,canvas.canvas,false
00000000-0000-0000-0002-00000000000d,Annual Report,pdf.pdf,true
00000000-0000-0000-0002-00000000000e,Onboarding Guide,md.md,true
00000000-0000-0000-0002-00000000000f,Network Topology,canvas.canvas,false
00000000-0000-0000-0002-000000000010,Product Requirements,pdf.pdf,false
00000000-0000-0000-0002-000000000011,Dev Setup Guide,md.md,false
00000000-0000-0000-0002-000000000012,ER Diagram,canvas.canvas,false
00000000-0000-0000-0002-000000000013,Marketing Plan,pdf.pdf,false
00000000-0000-0000-0002-000000000014,Incident Postmortem,md.md,false
00000000-0000-0000-0002-000000000015,Component Layout,canvas.canvas,false
00000000-0000-0000-0002-000000000016,Security Audit,pdf.pdf,false
00000000-0000-0000-0002-000000000017,Changelog,md.md,true
00000000-0000-0000-0002-000000000018,Data Flow Sketch,canvas.canvas,false
00000000-0000-0000-0002-000000000019,Contract Template,pdf.pdf,false
00000000-0000-0000-0002-00000000001a,Team Standup Notes,md.md,false
00000000-0000-0000-0002-00000000001b,Infrastructure Map,canvas.canvas,false
00000000-0000-0000-0002-00000000001c,Compliance Report,pdf.pdf,true
00000000-0000-0000-0002-00000000001d,Migration Plan,md.md,false
00000000-0000-0000-0002-00000000001e,Sequence Diagram,canvas.canvas,false
00000000-0000-0000-0002-00000000001f,Vendor Proposal,pdf.pdf,false
00000000-0000-0000-0002-000000000020,Troubleshooting Guide,md.md,false
00000000-0000-0000-0002-000000000021,Deployment Pipeline,canvas.canvas,false
00000000-0000-0000-0002-000000000022,Board Presentation,pdf.pdf,false
00000000-0000-0000-0002-000000000023,Feature Spec,md.md,false
00000000-0000-0000-0002-000000000024,Brainstorm Session,canvas.canvas,false
00000000-0000-0000-0002-000000000025,Investor Update,pdf.pdf,false
00000000-0000-0000-0002-000000000026,Code Review Checklist,md.md,false
00000000-0000-0000-0002-000000000027,Service Architecture,canvas.canvas,false
00000000-0000-0000-0002-000000000028,Performance Report,pdf.pdf,false
00000000-0000-0000-0002-000000000029,Testing Strategy,md.md,false
00000000-0000-0000-0002-00000000002a,Page Layout,canvas.canvas,false
00000000-0000-0000-0002-00000000002b,NDA Template,pdf.pdf,false
